Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

08:44:36 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:55 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:55 PM     br-ex      8.00      0.00      0.54      0.00      0.00      0.00      0.00
08:44:55 PM tape814b500-f2      1.00      0.00      0.07      0.00      0.00      0.00      0.00

08:44:55 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:56 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:56 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:56 PM    br-int      3.00      0.00      0.25      0.00      0.00      0.00      0.00
08:44:56 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:56 PM      eth0     21.00     21.00      3.65      5.37      0.00      0.00      0.00
08:44:56 PM      eth1     10.00      1.00      0.59      0.07      0.00      0.00      0.00
08:44:56 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:56 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:56 PM      eth4      5.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:56 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:56 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:56 PM     br-ex     11.00      0.00      0.66      0.00      0.00      0.00      0.00

08:44:56 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:57 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:57 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:57 PM    br-int      3.00      0.00      0.22      0.00      0.00      0.00      0.00
08:44:57 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:57 PM      eth0     64.00     71.00     17.57     15.63      0.00      0.00      0.00
08:44:57 PM      eth1     12.00      2.00      0.98      0.15      0.00      0.00      9.00
08:44:57 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
08:44:57 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:57 PM      eth4      5.00      0.00      0.35      0.00      0.00      0.00      1.00
08:44:57 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:57 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:57 PM     br-ex     14.00      0.00      1.14      0.00      0.00      0.00      0.00
08:44:57 PM tap6ff2c148-56      2.00      0.00      0.16      0.00      0.00      0.00      0.00

08:44:57 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:58 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:58 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:58 PM    br-int      4.00      0.00      0.34      0.00      0.00      0.00      0.00
08:44:58 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:58 PM      eth0     23.00     24.00      3.78      5.73      0.00      0.00      0.00
08:44:58 PM      eth1      9.00      0.00      0.53      0.00      0.00      0.00      0.00
