Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

09:51:54 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:14 PM    br-int 126911.00      0.00 3426916.82      0.00      0.00      0.00      0.00
09:52:14 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:14 PM      eth0     68.00     67.00     19.70     15.76      0.00      0.00      0.00
09:52:14 PM      eth1     13.00     11.00      1.21      0.72      0.00      0.00      0.00
09:52:14 PM      eth2      7.00      0.00      0.41      0.00      0.00      0.00      0.00
09:52:14 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:14 PM      eth4      8.00      0.00      0.53      0.00      0.00      0.00      1.00
09:52:14 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:14 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:14 PM     br-ex 1037913.00 235479.00 11320154.07  17474.39      0.00      0.00      0.00

09:52:14 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:15 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:15 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:15 PM    br-int     19.00      0.00      1.63      0.00      0.00      0.00      0.00
09:52:15 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:15 PM      eth0     34.00     32.00      8.69      7.07      0.00      0.00      1.00
09:52:15 PM      eth1      7.00     28.00      0.41      2.43      0.00      0.00      8.00
09:52:15 PM      eth2      7.00      0.00      0.41      0.00      0.00      0.00      0.00
09:52:15 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:15 PM      eth4      7.00      0.00      0.41      0.00      0.00      0.00      0.00
09:52:15 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:15 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:15 PM     br-ex     35.00      0.00      2.84      0.00      0.00      0.00      0.00
09:52:15 PM qr-c9ee6ca6-fa      5.00      0.00      0.29      0.00      0.00      0.00      0.00

09:52:15 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:16 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:16 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:16 PM    br-int     20.00      0.00      1.61      0.00      0.00      0.00      0.00
09:52:16 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:16 PM      eth0    111.00    117.00     35.19     25.81      0.00      0.00      0.00
09:52:16 PM      eth1      8.00     20.00      0.47      1.53      0.00      0.00      0.00
09:52:16 PM      eth2     11.00      0.00      0.64      0.00      0.00      0.00      0.00
09:52:16 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:16 PM      eth4     11.00      0.00      0.64      0.00      0.00      0.00      0.00
09:52:16 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
